label,index,x,y
source_frame,0,6448.1866749029,4901.6996826312
source_frame,1,3634.7579379274,5782.6897544240
source_frame,2,3470.7399297814,7197.3724806616
source_frame,3,6322.6932836868,5606.8189416291
source_frame,4,6913.8300015512,1366.7257362380
source_frame,5,3509.7686625447,7650.1757162120
source_frame,6,3543.5309006478,7183.9782563243
source_frame,7,6756.8490217764,2439.0949214210
source_frame,8,6425.9088183720,5275.9296415534
source_frame,9,6411.7806268598,5410.4202579570
source_frame,10,6587.5049364589,3828.8761916278
source_frame,11,5387.5160492248,7227.0542628772
source_frame,12,6292.7552656636,6762.6282495416
source_frame,13,6803.1941491059,2073.8956425489
source_frame,14,6526.7380518339,4580.6220271311
source_frame,15,3718.4068950610,4902.1817796352
source_frame,16,6350.2655882508,5662.1363013802
source_frame,17,4131.6078580658,7114.5593013261
source_frame,18,6811.9494923553,1732.2963214769
source_frame,19,3824.6782136935,4387.2261297908
source_frame,20,4389.7779714413,963.8735599839
source_frame,21,5629.6104905658,4510.3738574440
source_frame,22,6235.8373416749,6983.3545958074
source_frame,23,3807.8734806858,4156.8256236800
source_frame,24,3453.4694402213,7936.8038292610
source_frame,25,3560.9759955891,7031.5215061801
source_frame,26,3883.8447416707,2803.1897907306
source_frame,27,5679.7979562176,2447.4249384555
source_frame,28,6067.0879145411,7216.0598470431
source_frame,29,6279.5208276059,6812.5511383904
source_frame,30,3687.7191835386,2983.2479560946
source_frame,31,3853.8512153943,3686.3252861174
source_frame,32,3630.8476145930,5803.1092502758
source_frame,33,6392.5589459668,4562.3843882496
source_frame,34,3436.8874563149,7550.8766015937
source_frame,35,6802.5379345444,1223.6680191410
source_frame,36,3865.3009879640,3124.6617763722
source_frame,37,4330.6823280875,7763.5245092955
source_frame,38,3621.3645553582,5956.7402229119
source_frame,39,4218.8270101313,7822.0787965724
source_frame,40,6636.8761826428,2807.3170778069
source_frame,41,5553.8680527822,1069.4584711759
source_frame,42,3845.3717983968,3003.9780990594
source_frame,43,3836.1560482555,3888.2012458926
source_frame,44,6782.1529291220,2443.0932184720
source_frame,45,3467.4457423811,7670.2850518073
source_frame,46,6818.2154023259,3935.4817254827
source_frame,47,3495.9484705147,7369.4674779884
source_frame,48,6802.2591151876,4619.5026313871
source_frame,49,3579.3691643803,6629.8131385527
source_frame,50,6863.8770808419,1223.5279138596
source_frame,51,6849.1433737378,1630.3922149277
source_frame,52,3873.7971849574,3020.6693111116
source_frame,53,5531.7939439130,7235.0238834752
source_frame,54,3611.1478843871,6200.0990277941
source_frame,55,3431.6375221557,7735.0020536166
source_frame,56,6675.7651060508,3243.4842969398
source_frame,57,3875.7554537579,2764.0224659366
source_frame,58,3890.5871678152,2875.7933909734
source_frame,59,4125.5215024846,910.2520688858
source_frame,60,6753.0752383993,2693.0853452573
source_frame,61,3582.0470506501,6625.2460835382
source_frame,62,6418.9729598035,5040.8703266047
source_frame,63,6690.0545003184,2913.6126965231
source_frame,64,3730.1262628917,5372.5478225692
source_frame,65,3965.9023804658,2270.9741505475
source_frame,66,3892.4988502061,4322.7337293938
source_frame,67,6274.5475965905,6744.3568854673
source_frame,68,3984.8798427574,3709.3158315542
source_frame,69,3921.5228589187,2534.1948236426
source_frame,70,4038.7238750059,1236.1629451437
source_frame,71,6392.3663568799,5282.0535056774
source_frame,72,3501.3727388432,3609.8615743968
source_frame,73,6615.4860738547,3634.8265999329
source_frame,74,6637.7865225663,3541.0911344893
source_frame,75,3822.9289542653,3270.1280562577
source_frame,76,6350.1512042417,5566.0780061315
source_frame,77,6712.9240226695,2535.9517382641
source_frame,78,4028.1496504635,1631.3158635639
source_frame,79,6664.1949263813,3732.3588705200
source_frame,80,6682.0959849987,3000.6410055935
source_frame,81,3993.6083046812,7756.7536538489
source_frame,82,6577.3065637910,2571.7709981285
source_frame,83,3507.3987675295,7173.4919013570
source_frame,84,6676.8508520996,3369.2021849767
source_frame,85,6284.7673554929,6501.5120601858
source_frame,86,3779.8910187140,4266.4344436964
source_frame,87,5992.3125139825,1083.9860595909
source_frame,88,3839.4787687617,3712.8677438807
source_frame,89,6292.8359435780,5684.8016787185
source_frame,90,3598.9038488182,6350.0723144691
source_frame,91,4161.6772128135,774.1394705981
source_frame,92,4077.4564167757,1359.6511858223
source_frame,93,3905.5888057450,3222.9530059048
source_frame,94,3591.9919869191,6331.5851134037
source_frame,95,6484.5223136637,4764.1576100412
source_frame,96,3484.5996529514,7454.8154124284
source_frame,97,3668.6011947863,3056.9922219997
source_frame,98,4374.2846033985,5746.1336345546
source_frame,99,6860.6040883292,3965.7139472135
source_frame,100,4645.7550736662,2411.9650634820
source_frame,101,3656.5335257630,5626.7387301757
source_frame,102,3590.9903614255,5928.0060096991
source_frame,103,6197.7638849642,1174.4672794005
source_frame,104,3692.7974295215,5146.4379020308
source_frame,105,6764.1652204966,1885.0216494041
source_frame,106,3819.4733627930,6375.5784199252
source_frame,107,4152.2116648719,958.5408791600
source_frame,108,6277.0468417553,6233.0151267542
source_frame,109,3591.3379666036,4290.7908154131
source_frame,110,3774.8177792795,4579.7872884021
source_frame,111,3804.8530413092,3751.7951262874
source_frame,112,6615.0481984880,3930.2662374670
source_frame,113,3673.2054426587,5615.8409182455
source_frame,114,4114.5357398857,7112.7792792314
source_frame,115,3590.8553012433,6272.0180536384
source_frame,116,3483.9461535274,6979.4323343141
source_frame,117,3812.0066247149,4223.6683881100
source_frame,118,5480.2325035830,5847.3182514643
source_frame,119,3452.8655765082,7765.8084004152
