label,index,x,y
source_frame,0,6721.2224167509,5262.0615563433
source_frame,1,3789.5918446082,5573.6172545981
source_frame,2,3351.0546045866,6928.5763728099
source_frame,3,6459.7517104583,5928.8260053053
source_frame,4,7871.7418577948,1887.2771891413
source_frame,5,3300.4359926906,7380.2308516272
source_frame,6,3425.0586252113,6929.7320616277
source_frame,7,7507.3028955843,2907.9646732245
source_frame,8,6625.9144746831,5624.6367364444
source_frame,9,6585.6598768393,5753.7370813256
source_frame,10,7068.4315124366,4237.4613100400
source_frame,11,5224.7087300969,7333.9551071091
source_frame,12,6203.5040080205,7056.2693769100
source_frame,13,7624.4370485238,2558.9690080207
source_frame,14,6861.2748372839,4962.6513040437
source_frame,15,4044.4621378171,4726.6623707135
source_frame,16,6475.9284078530,5988.4796450114
source_frame,17,4015.3205449560,6977.1067939057
source_frame,18,7700.0800018447,2225.7350124482
source_frame,19,4249.7545408832,4242.5880544005
source_frame,20,5475.8833237346,996.7770985263
source_frame,21,5995.3930854041,4717.6585321241
source_frame,22,6104.3636669088,7261.5276599859
source_frame,23,4278.5057634719,4013.3716512632
source_frame,24,3188.9654087174,7650.2300859464
source_frame,25,3472.0924467285,6783.6662831732
source_frame,26,4618.7255422469,2700.9875219510
source_frame,27,6449.5731022946,2704.7011216651
source_frame,28,5893.2162317305,7456.5785859728
source_frame,29,6180.7269182728,7102.6229028206
source_frame,30,4391.0695756896,2839.0416358258
source_frame,31,4415.9508923524,3561.0516801338
source_frame,32,3781.7491378972,5592.8718226500
source_frame,33,6733.2866505890,4918.4283689330
source_frame,34,3248.4658608335,7268.5568180283
source_frame,35,7790.6983089924,1725.1556982860
source_frame,36,4537.4357493773,3012.5642828449
source_frame,37,4083.1258582723,7652.5243871436
source_frame,38,3742.2919255687,5741.6519710597
source_frame,39,3961.9523899840,7687.9815062676
source_frame,40,7317.3802184710,3245.4708439849
source_frame,41,6596.5964151274,1328.8253747280
source_frame,42,4541.5852470287,2890.3165661554
source_frame,43,4358.9705814753,3755.5260132670
source_frame,44,7531.3295679183,2916.8524807617
source_frame,45,3254.9889807956,7391.6406745477
source_frame,46,7273.7256796766,4387.2824160507
source_frame,47,3341.9893902588,7102.2714519572
source_frame,48,7123.8025127480,5054.8618097048
source_frame,49,3568.9854605962,6393.3847628014
source_frame,50,7850.8714647192,1737.0595559747
source_frame,51,7756.5545690978,2133.1150632069
source_frame,52,4566.1809688024,2912.2630836769
source_frame,53,5364.6148831343,7370.0922637548
source_frame,54,3684.5012718927,5978.2700782010
source_frame,55,3207.1731618936,7448.0690931116
source_frame,56,7269.8902658648,3680.7855529156
source_frame,57,4618.4824273370,2660.9943124575
source_frame,58,4611.0842632185,2773.5020303844
source_frame,59,5227.2947872923,892.3238303031
