label,index,x,y
source_frame,0,6653.0467099069,5226.1369793262
source_frame,1,3733.3502908262,5634.6679879958
source_frame,2,3339.9536216175,7003.4149271948
source_frame,3,6413.8143959185,5901.1996879633
source_frame,4,7691.1029460530,1815.0808730844
source_frame,5,3304.3294332958,7456.4987266320
source_frame,6,3413.9552962564,7002.1176855469
source_frame,7,7360.6869904795,2847.2843383196
source_frame,8,6569.8058841846,5591.6712868537
source_frame,9,6533.8514347877,5722.0346607920
source_frame,10,6966.1126029643,4190.5938525294
source_frame,11,5226.0119204748,7346.4831326224
source_frame,12,6195.0678875681,7036.5152415714
source_frame,13,7466.1920291771,2494.5988255390
source_frame,14,6783.1005579341,4922.2501972962
source_frame,15,3960.0147864348,4779.7325236905
source_frame,16,6431.9589716370,5960.2845137715
source_frame,17,4005.4629209840,7029.9066950332
source_frame,18,7530.7509545716,2159.0412338439
source_frame,19,4149.1535133851,4289.1212147727
source_frame,20,5267.0514019770,1004.4621968392
source_frame,21,5909.5759348198,4706.0849842202
source_frame,22,6102.7837053441,7244.9460447611
source_frame,23,4170.2933260707,4059.0779566946
source_frame,24,3201.8671222520,7730.0435171871
source_frame,25,3456.1230570322,6854.5735499359
source_frame,26,4466.8373507382,2736.1406028587
source_frame,27,6296.8024824111,2679.1827604055
source_frame,28,5898.2156978970,7446.8867128788
source_frame,29,6173.8393389784,7083.5980824638
source_frame,30,4243.8811560060,2881.6628097461
source_frame,31,4292.6742942935,3602.4518313444
source_frame,32,3726.1499362746,5654.1718679624
source_frame,33,6653.7172312856,4882.2927360575
source_frame,34,3248.6872635472,7346.6081750310
source_frame,35,7604.7316321334,1655.7339850337
source_frame,36,4395.9170240285,3050.2399750537
source_frame,37,4095.6125329013,7702.7064670607
source_frame,38,3691.6445706503,5804.1778142069
source_frame,39,3975.6805664476,7742.1594788107
source_frame,40,7182.0526713090,3190.8986840587
source_frame,41,6398.1522003380,1299.1906733983
source_frame,42,4396.0132796842,2927.9218925744
source_frame,43,4242.1696370202,3798.7075361505
source_frame,44,7384.9949857784,2855.3710849344
source_frame,45,3259.2854716297,7469.4082760699
source_frame,46,7176.2586959224,4333.5297770674
source_frame,47,3336.6491772676,7177.3150113763
source_frame,48,7048.5396653544,5005.7105950354
source_frame,49,3540.0299698606,6461.2955931932
source_frame,50,7665.2662033132,1665.6373274027
source_frame,51,7584.1253284642,2064.6007342929
source_frame,52,4421.3227427082,2949.0413206521
source_frame,53,5367.0387270896,7377.9643264397
source_frame,54,3641.7265478257,6042.5810005880
source_frame,55,3213.3658000184,7527.3901932339
source_frame,56,7149.0139676691,3627.5480118629
source_frame,57,4465.2691011008,2696.1774135024
source_frame,58,4461.6032055515,2808.8684984882
source_frame,59,5015.1380858298,908.3038542954
source_frame,60,7315.3844810311,3097.2304514704
source_frame,61,3543.4193816015,6457.2285359732
source_frame,62,6601.4441055606,5358.6476600979
source_frame,63,7217.1123928402,3304.4658798295
source_frame,64,3894.5745283016,5245.6715009647
source_frame,65,4634.9146144541,2224.5382405088
source_frame,66,4226.6169612645,4236.6014785911
source_frame,67,6180.0969769788,7015.5096757771
source_frame,68,4418.1715676657,3646.5823281042
source_frame,69,4548.0431258663,2476.9426959923
source_frame,70,4876.1580103935,1215.6086964812
source_frame,71,6535.7134252473,5592.2214489790
source_frame,72,3957.4685495172,3469.3169962680
source_frame,73,7025.4832452913,4003.7428024478
source_frame,74,7062.8278583684,3914.9226055960
source_frame,75,4330.3029862572,3186.8072693478
source_frame,76,6447.5714049994,5865.5033917361
source_frame,77,7301.4985759355,2935.6437186891
source_frame,78,4801.0377216810,1603.6996463685
source_frame,79,7057.5684066733,4107.9331980676
source_frame,80,7195.0142283045,3389.0172587059
source_frame,81,3764.1943175797,7640.8460734970
source_frame,82,7161.8468874157,2948.7784217112
source_frame,83,3380.0272870460,6985.8577693358
source_frame,84,7129.5043525522,3751.7476138547
source_frame,85,6229.9339047727,6777.6140405374
source_frame,86,4124.7447984160,4162.6271876519
source_frame,87,6828.3034700643,1385.2980571424
source_frame,88,4274.1505956083,3626.2833624186
source_frame,89,6371.5936483440,5973.2425676709
source_frame,90,3605.0962369336,6188.5266187033
source_frame,91,5073.0884136857,779.9464068940
source_frame,92,4894.1523130692,1343.7717194209
source_frame,93,4419.5705109677,3153.8005207272
source_frame,94,3601.3040783099,6169.1573138341
source_frame,95,6711.4085516749,5096.3987975832
source_frame,96,3311.4815348318,7259.6536739079
source_frame,97,4212.9487390532,2951.2824896454
source_frame,98,4468.8846254808,5719.6696431965
source_frame,99,7213.1263448164,4370.2934057905
source_frame,100,5282.5145922079,2474.9227264402
source_frame,101,3780.3621548946,5484.3856443007
source_frame,102,3666.3840970302,5770.8588235483
