region,iteration,milliseconds
generate_target_profile,0,7.3417
source_deformation,0,21.0158
build_grid_index,0,2.46409
profile_metrics,0,408.248
nearest_neighbors,1,192.496
estimate_transform,1,0.338235
profile_metrics,1,392.661
nearest_neighbors,2,190.473
estimate_transform,2,0.316353
profile_metrics,2,385.364
nearest_neighbors,3,185.625
estimate_transform,3,0.30367
profile_metrics,3,376.6
nearest_neighbors,4,185.112
estimate_transform,4,0.34644
profile_metrics,4,373.149
nearest_neighbors,5,180.367
estimate_transform,5,0.336271
profile_metrics,5,365.488
nearest_neighbors,6,178.744
estimate_transform,6,0.361158
profile_metrics,6,364.352
nearest_neighbors,7,183.615
estimate_transform,7,0.337183
profile_metrics,7,358.032
nearest_neighbors,8,173.96
estimate_transform,8,0.315513
profile_metrics,8,355.633
nearest_neighbors,9,172.631
estimate_transform,9,0.364844
profile_metrics,9,351.099
nearest_neighbors,10,171.476
estimate_transform,10,0.358032
profile_metrics,10,348.107
nearest_neighbors,11,169.401
estimate_transform,11,0.34643
profile_metrics,11,340.937
nearest_neighbors,12,171.019
estimate_transform,12,0.337333
profile_metrics,12,341.006
nearest_neighbors,13,167.333
estimate_transform,13,0.368041
profile_metrics,13,332.508
nearest_neighbors,14,165.504
estimate_transform,14,0.360377
profile_metrics,14,329.309
nearest_neighbors,15,167.881
estimate_transform,15,0.379051
profile_metrics,15,328.777
nearest_neighbors,16,165.106
estimate_transform,16,0.306916
profile_metrics,16,328.263
nearest_neighbors,17,164.551
estimate_transform,17,0.329078
profile_metrics,17,326.022
nearest_neighbors,18,164.822
estimate_transform,18,0.314089
profile_metrics,18,326.792
nearest_neighbors,19,164.306
estimate_transform,19,0.388279
profile_metrics,19,326.515
nearest_neighbors,20,165.105
estimate_transform,20,0.34654
profile_metrics,20,331.242
nearest_neighbors,21,170.259
estimate_transform,21,0.361028
profile_metrics,21,334.166
nearest_neighbors,22,171.582
estimate_transform,22,0.33558
profile_metrics,22,337.956
nearest_neighbors,23,174.693
estimate_transform,23,0.326903
profile_metrics,23,345.443
nearest_neighbors,24,180.265
estimate_transform,24,0.44779
profile_metrics,24,356.927
nearest_neighbors,25,185.578
estimate_transform,25,0.403958
profile_metrics,25,357.488
nearest_neighbors,26,185.718
estimate_transform,26,0.392626
profile_metrics,26,361.65
nearest_neighbors,27,189.133
estimate_transform,27,0.33584
profile_metrics,27,359.98
nearest_neighbors,28,191.734
estimate_transform,28,0.526699
profile_metrics,28,360.754
nearest_neighbors,29,191.658
estimate_transform,29,0.39952
profile_metrics,29,366.645
nearest_neighbors,30,191.745
estimate_transform,30,0.397647
profile_metrics,30,367.029
nearest_neighbors,31,190.047
estimate_transform,31,0.412193
profile_metrics,31,370.071
nearest_neighbors,32,188.618
estimate_transform,32,0.418095
profile_metrics,32,372.441
nearest_neighbors,33,185.422
estimate_transform,33,0.416552
profile_metrics,33,376.754
nearest_neighbors,34,190.609
estimate_transform,34,0.445937
profile_metrics,34,387.542
nearest_neighbors,35,191.512
estimate_transform,35,0.462508
profile_metrics,35,391.805
nearest_neighbors,36,190.098
estimate_transform,36,0.371858
profile_metrics,36,394.316
nearest_neighbors,37,195.934
estimate_transform,37,0.423124
profile_metrics,37,394.638
nearest_neighbors,38,194.74
estimate_transform,38,0.389751
profile_metrics,38,394.796
nearest_neighbors,39,195.649
estimate_transform,39,0.366619
profile_metrics,39,414.448
nearest_neighbors,40,224.458
estimate_transform,40,0.483327
profile_metrics,40,419.463
nearest_neighbors,41,211.851
estimate_transform,41,0.462558
profile_metrics,41,426.679
nearest_neighbors,42,206.168
estimate_transform,42,0.413627
profile_metrics,42,417.058
nearest_neighbors,43,204.891
estimate_transform,43,0.459643
profile_metrics,43,414.599
nearest_neighbors,44,202.685
estimate_transform,44,0.402826
profile_metrics,44,410.911
nearest_neighbors,45,206.471
estimate_transform,45,0.412945
profile_metrics,45,422.646
export_reconstruction,0,2488.06
