label,index,x,y
source_frame,0,6690.0755456127,5248.8561953429
source_frame,1,3763.1388032246,5601.7953837240
source_frame,2,3343.7865702644,6962.8144238635
source_frame,3,6438.0501838315,5919.2478552460
source_frame,4,7792.8052503065,1858.1554259270
source_frame,5,3299.5534452381,7415.1389122084
source_frame,6,3417.7995323454,6962.9245568289
source_frame,7,7442.8217101017,2883.8894162612
source_frame,8,6599.8991438132,5612.7415915942
source_frame,9,6561.4723385839,5742.3977227099
source_frame,10,7022.7756637947,4219.4532362382
source_frame,11,5222.9804341837,7341.6839555918
source_frame,12,6197.7552270113,7050.1986830484
source_frame,13,7555.0139799603,2533.2738451582
source_frame,14,6825.8842796553,4947.4973271524
source_frame,15,4006.0188950407,4751.3245125615
source_frame,16,6455.0679824450,5978.6670171312
source_frame,17,4008.6718045522,7001.9560453502
source_frame,18,7625.9418526048,2199.0045090318
source_frame,19,4204.4523878072,4264.3983750222
source_frame,20,5384.6058718894,1001.5900283033
source_frame,21,5956.6279670164,4714.7611471786
source_frame,22,6101.5244231297,7256.8370202256
source_frame,23,4229.9626454356,4034.7986820274
source_frame,24,3191.9082118427,7686.6859272012
source_frame,25,3462.7652173523,6816.2089163065
source_frame,26,4551.6086767411,2717.7392941160
source_frame,27,6382.3260008954,2695.5884928431
source_frame,28,5893.1535048162,7454.8513215067
source_frame,29,6175.6352374726,7096.8693509730
source_frame,30,4325.9256914339,2858.9956837403
source_frame,31,4361.0042218927,3580.5821863174
source_frame,32,3755.5688846938,5621.1588228001
source_frame,33,6697.2841358101,4905.0868694057
source_frame,34,3246.0109018561,7304.2101944042
source_frame,35,7709.4795296664,1697.1949994879
source_frame,36,4474.7285804589,3030.4333285163
source_frame,37,4086.0118457799,7676.3483672164
source_frame,38,3718.2173981995,5770.4815291185
source_frame,39,3965.3513650725,7713.5137423530
source_frame,40,7257.6858696415,3224.0449088823
source_frame,41,6509.8979111711,1317.7730722462
source_frame,42,4477.1506941199,2908.1391915678
source_frame,43,4306.7768983860,3775.8420630472
source_frame,44,7466.9715411976,2892.4369167324
source_frame,45,3254.2721527921,7427.1896177347
source_frame,46,7230.1658389474,4366.3592407417
source_frame,47,3337.1760174262,7136.6202328055
source_frame,48,7089.6883979552,5035.9899534377
source_frame,49,3554.1351306541,6424.5975525499
source_frame,50,7769.8148443171,1708.2476147438
source_frame,51,7681.1023601939,2105.5959968587
source_frame,52,4502.0539957486,2929.7360600649
source_frame,53,5363.3831288643,7375.8410789275
source_frame,54,3663.7751697249,6007.8924219565
source_frame,55,3207.2582587375,7484.2878902542
source_frame,56,7216.3502629232,3659.9870598923
source_frame,57,4550.8006097332,2677.7535099151
source_frame,58,4544.9925586998,2790.3545133238
source_frame,59,5134.5665505023,900.6589456117
source_frame,60,7392.7746720378,3132.9289127724
