region,iteration,milliseconds
generate_target_profile,0,7.85997
source_deformation,0,20.4878
build_grid_index,0,2.58815
profile_metrics,0,408.744
nearest_neighbors,1,195.068
estimate_transform,1,0.304922
profile_metrics,1,398.491
nearest_neighbors,2,191.006
estimate_transform,2,0.350287
profile_metrics,2,386.107
nearest_neighbors,3,210.997
estimate_transform,3,0.347833
profile_metrics,3,380.829
nearest_neighbors,4,195.578
estimate_transform,4,0.445236
profile_metrics,4,408.11
nearest_neighbors,5,187.566
estimate_transform,5,0.353483
profile_metrics,5,378.026
nearest_neighbors,6,186.359
estimate_transform,6,0.398147
profile_metrics,6,379.676
nearest_neighbors,7,183.908
estimate_transform,7,0.369093
profile_metrics,7,388.088
nearest_neighbors,8,181.597
estimate_transform,8,0.357832
profile_metrics,8,365.502
nearest_neighbors,9,180.031
estimate_transform,9,0.38397
profile_metrics,9,358.198
nearest_neighbors,10,178.872
estimate_transform,10,0.43732
profile_metrics,10,348.059
nearest_neighbors,11,170.595
estimate_transform,11,0.360286
profile_metrics,11,337.787
nearest_neighbors,12,171.502
estimate_transform,12,0.396454
profile_metrics,12,335.647
nearest_neighbors,13,167.986
estimate_transform,13,0.397026
profile_metrics,13,332.296
nearest_neighbors,14,166.681
estimate_transform,14,0.433684
profile_metrics,14,329.218
nearest_neighbors,15,167.304
estimate_transform,15,0.376356
profile_metrics,15,328.488
nearest_neighbors,16,165.529
estimate_transform,16,0.38856
profile_metrics,16,325.891
nearest_neighbors,17,166.887
estimate_transform,17,0.409168
profile_metrics,17,328.339
nearest_neighbors,18,166.351
estimate_transform,18,0.382428
profile_metrics,18,326.568
nearest_neighbors,19,167.276
estimate_transform,19,0.419938
profile_metrics,19,327.678
nearest_neighbors,20,168.755
estimate_transform,20,0.424046
profile_metrics,20,332.189
nearest_neighbors,21,170.646
estimate_transform,21,0.420579
profile_metrics,21,333.336
nearest_neighbors,22,173.364
estimate_transform,22,0.438322
profile_metrics,22,338.208
nearest_neighbors,23,175.675
estimate_transform,23,0.418766
profile_metrics,23,346.633
nearest_neighbors,24,181.628
estimate_transform,24,0.406553
profile_metrics,24,356.649
nearest_neighbors,25,185.111
estimate_transform,25,0.413456
profile_metrics,25,357.665
nearest_neighbors,26,188.144
estimate_transform,26,0.403998
profile_metrics,26,362.262
nearest_neighbors,27,190.591
estimate_transform,27,0.359264
profile_metrics,27,361.112
nearest_neighbors,28,193.119
estimate_transform,28,0.448311
profile_metrics,28,367.819
nearest_neighbors,29,191.296
estimate_transform,29,0.428204
profile_metrics,29,368.322
nearest_neighbors,30,192.266
estimate_transform,30,0.449985
profile_metrics,30,364.353
nearest_neighbors,31,192.176
estimate_transform,31,0.422282
profile_metrics,31,373.935
nearest_neighbors,32,191
estimate_transform,32,0.359284
profile_metrics,32,373.204
nearest_neighbors,33,185.91
estimate_transform,33,0.380765
profile_metrics,33,376.61
nearest_neighbors,34,188.199
estimate_transform,34,0.430317
profile_metrics,34,386.67
nearest_neighbors,35,192.302
estimate_transform,35,0.414829
profile_metrics,35,394.354
nearest_neighbors,36,194.913
estimate_transform,36,0.388219
profile_metrics,36,399.768
nearest_neighbors,37,198.249
estimate_transform,37,0.390342
profile_metrics,37,400.05
nearest_neighbors,38,201.893
estimate_transform,38,0.37805
profile_metrics,38,401.893
nearest_neighbors,39,199.044
estimate_transform,39,0.37299
profile_metrics,39,407.024
nearest_neighbors,40,201.958
estimate_transform,40,0.416502
profile_metrics,40,404.374
nearest_neighbors,41,201.822
estimate_transform,41,0.385163
profile_metrics,41,406.59
nearest_neighbors,42,200.695
estimate_transform,42,0.382257
profile_metrics,42,406.886
nearest_neighbors,43,202.22
estimate_transform,43,0.378761
profile_metrics,43,417.641
nearest_neighbors,44,201.497
estimate_transform,44,0.379974
profile_metrics,44,414.385
nearest_neighbors,45,202.382
estimate_transform,45,0.519986
profile_metrics,45,408.948
export_reconstruction,0,2533.7
