label,index,x,y
source_frame,0,6629.9048599882,5209.8515268033
source_frame,1,3715.8794528040,5657.0435335764
source_frame,2,3340.6583460103,7030.8842244600
source_frame,3,6399.6406608082,5888.0256631611
source_frame,4,7622.6606867685,1785.3369075142
source_frame,5,3311.0423391244,7484.4003809993
source_frame,6,3414.6363274455,7028.6062982040
source_frame,7,7305.9543038613,2821.8289549352
source_frame,8,6551.5160403656,5576.4569795787
source_frame,9,6517.2925505645,5707.2854338303
source_frame,10,6929.2184413275,4170.2500642814
source_frame,11,5231.0979186189,7348.9249806203
source_frame,12,6195.9605369297,7026.1407049372
source_frame,13,7406.7756754057,2467.7760843695
source_frame,14,6755.9196500506,4904.2677373694
source_frame,15,3931.1929517398,4799.1790111299
source_frame,16,6418.5667374015,5946.8648158877
source_frame,17,4006.4603054940,7048.5531818206
source_frame,18,7466.8815390516,2131.3923193812
source_frame,19,4113.8126337183,4306.1040003814
source_frame,20,5188.0783335394,1006.9171672970
source_frame,21,5879.6067562697,4699.6989745419
source_frame,22,6106.4469469839,7235.7763107441
source_frame,23,4131.9016573229,4075.8007665947
source_frame,24,3212.2145178538,7759.2791531283
source_frame,25,3454.8448736275,6880.5162417655
source_frame,26,4410.8857746719,2749.0492966475
source_frame,27,6239.9352679714,2667.8425850007
source_frame,28,5904.5733756923,7440.4105315496
source_frame,29,6175.3578764153,7073.5007678747
source_frame,30,4189.8778759061,2897.5137238683
source_frame,31,4248.2198748157,3617.5927439514
source_frame,32,3708.9382299401,5676.6411320153
source_frame,33,6626.0181021505,4866.0285980428
source_frame,34,3253.9485964847,7375.2569481374
source_frame,35,7534.1850178854,1627.1487580993
source_frame,36,4344.1346669170,3064.0610392340
source_frame,37,4105.5191087298,7720.0990397266
source_frame,38,3676.4240340708,5827.0912275039
source_frame,39,3986.1205761963,7761.1381325827
source_frame,40,7131.8898482849,3167.7806912917
source_frame,41,6322.9860351056,1286.6284467859
source_frame,42,4342.6097427242,2941.7524247673
source_frame,43,4200.3207746110,3814.5005860370
source_frame,44,7330.3673436701,2829.5928195370
source_frame,45,3266.1734336178,7497.9057972424
source_frame,46,7141.2405109874,4310.3882135704
source_frame,47,3339.6590174562,7204.8128304259
source_frame,48,7022.4416046896,4984.2027449334
source_frame,49,3533.5320148891,6486.1607484854
source_frame,50,7594.8455283062,1636.2489214756
source_frame,51,7518.9995355172,2036.2527051909
source_frame,52,4368.1968939950,2962.5345529244
source_frame,53,5372.5295815867,7378.5342774425
source_frame,54,3629.6701283201,6066.1350740603
source_frame,55,3221.0262722803,7556.4912287255
source_frame,56,7104.6412808616,3604.8295523855
source_frame,57,4408.7880012782,2709.1104026062
source_frame,58,4406.6160054462,2821.8401762224
source_frame,59,4934.9126869515,914.1060630004
source_frame,60,7263.9684929722,3072.3535416038
source_frame,61,3536.8672252257,6482.0491261303
source_frame,62,6580.0630495219,5343.0344957720
source_frame,63,7168.4516798242,3280.8732396916
source_frame,64,3871.9338730395,5265.9443906509
source_frame,65,4572.1676334912,2235.2642192504
source_frame,66,4190.5731949857,4252.5621972754
source_frame,67,6180.7125391115,7005.3354046330
source_frame,68,4374.2910190745,3660.0560569807
source_frame,69,4488.6490768740,2488.7978765386
source_frame,70,4800.0177555735,1223.2259182146
source_frame,71,6517.4338676284,5577.4589457812
source_frame,72,3911.2790389395,3488.9123306753
source_frame,73,6986.1073946427,3982.6285434539
source_frame,74,7022.2715282604,3893.3211925002
source_frame,75,4280.3364189930,3201.4859692332
source_frame,76,6432.9215956218,5851.8850958667
source_frame,77,7247.9421798788,2910.9650418280
source_frame,78,4730.0477194464,1612.2784046545
source_frame,79,7019.5706496821,4086.3845393408
source_frame,80,7147.4760778020,3365.7100752382
source_frame,81,3773.3101221591,7662.6366086913
source_frame,82,7108.4768414759,2925.9494975756
source_frame,83,3380.4957936751,7012.7974830035
source_frame,84,7086.7794879179,3729.2768206149
source_frame,85,6227.3920839025,6766.8001394495
source_frame,86,4087.7295444231,4179.9445904411
source_frame,87,6754.2407670741,1367.0271565839
source_frame,88,4230.0136599385,3641.6676899777
source_frame,89,6358.3784588788,5960.6217975916
source_frame,90,3594.9773593156,6212.5533615176
source_frame,91,4991.1567092303,784.9918315620
source_frame,92,4819.7091164101,1351.1391922961
source_frame,93,4369.1586402423,3167.2989916720
source_frame,94,3590.9288181497,6193.2360182071
source_frame,95,6686.5420601476,5079.3512282035
source_frame,96,3315.5848803853,7287.4778260260
source_frame,97,4159.8708966456,2967.5372587938
source_frame,98,4452.4757714697,5732.2891458784
source_frame,99,7178.5921770020,4346.6599791437
source_frame,100,5223.0292590701,2477.0435945716
source_frame,101,3760.8953853157,5506.1513071040
source_frame,102,3650.7241781370,5794.1099590171
source_frame,103,6943.7204730275,1487.4205036107
source_frame,104,3869.0866970868,5036.7915343393
source_frame,105,7396.6394637260,2275.1783175921
source_frame,106,3809.1890513103,6270.9898477519
source_frame,107,4954.0252981304,965.8639808476
source_frame,108,6260.1996367094,6500.2033013712
source_frame,109,3897.6589825473,4175.6239641438
source_frame,110,4035.5181578019,4488.9586906868
source_frame,111,4189.9198368632,3674.9358046500
source_frame,112,6941.1765128502,4274.6319458698
source_frame,113,3779.0185013851,5497.8888751511
source_frame,114,3989.8510409567,7044.2221277521
source_frame,115,3598.7768648368,6134.1772777313
source_frame,116,3386.5392383656,6817.4193433852
source_frame,117,4125.9200471817,4142.5035279793
source_frame,118,5530.5673155885,5998.8931727071
source_frame,119,3237.3722280358,7590.1434355642
source_frame,120,5423.3308982134,1757.5859564489
source_frame,121,4401.8045181907,5003.1692019136
source_frame,122,3819.9188413586,5369.0108127500
source_frame,123,6146.5981341642,7209.1578812017
source_frame,124,6156.1987854436,6883.2588393338
source_frame,125,4029.6537413039,4566.1737965215
source_frame,126,7145.4870600864,3450.9114727131
source_frame,127,4201.0397907900,3877.3991962591
source_frame,128,4934.3405144003,750.8308218652
source_frame,129,7114.2418633540,3727.1806575712
source_frame,130,4354.1626220126,5038.6673380402
source_frame,131,3278.4878917264,7415.4414891848
source_frame,132,4587.6230289174,2226.9078498398
source_frame,133,5985.3339037414,8027.0101322734
source_frame,134,6795.4916636124,4757.5370492427
source_frame,135,4114.3706360884,4948.0174638216
source_frame,136,5876.1011463979,8235.7523236186
source_frame,137,3368.0556208916,7162.6262833339
source_frame,138,5850.4673590314,4682.7681978702
source_frame,139,4264.5110490493,3203.8290335695
source_frame,140,3440.0987392257,6709.9281231691
source_frame,141,3686.8417616751,6270.0187062547
source_frame,142,6305.5941191653,6135.8222916481
source_frame,143,5468.9400021835,6022.8744249327
source_frame,144,5961.6011997188,8064.1354955170
source_frame,145,3204.4276395753,7594.3314713924
source_frame,146,6564.1776879693,5468.1936056408
source_frame,147,3647.2709158984,6089.9300684074
source_frame,148,3336.4153712496,7073.1272263129
source_frame,149,6111.3506699037,7375.7360959148
source_frame,150,4570.0669480093,2165.8837538063
source_frame,151,5923.0025862193,8109.5050610591
source_frame,152,4567.8453647022,2290.9002663410
source_frame,153,4420.1942231334,2731.2991881387
source_frame,154,4981.5063532269,755.8990190161
source_frame,155,6855.6348412759,5661.6096724792
source_frame,156,4671.0161104367,1921.9128254895
source_frame,157,7498.1308438320,1938.6868417428
source_frame,158,4456.6443763837,2468.4221407226
source_frame,159,3814.8874542814,5270.6135718536
source_frame,160,6845.9579903252,4937.9389624243
source_frame,161,4600.1614722049,2122.1356111168
source_frame,162,3415.2713843817,6951.1019550074
source_frame,163,7299.5267233317,2743.7316299116
source_frame,164,6148.9553248011,6965.9193535187
source_frame,165,4543.8737979297,5763.6190542589
source_frame,166,3931.7287997791,4900.4396858550
source_frame,167,6552.1114494369,5627.7088886286
source_frame,168,6528.3196972365,5476.9099630710
source_frame,169,6057.2350098717,3341.2678161105
source_frame,170,6689.7504554709,2127.5268973549
source_frame,171,4045.1094359365,4446.1056939494
source_frame,172,7874.4482780741,1718.8587984955
source_frame,173,6306.7140429154,6394.2948205264
source_frame,174,6220.1241531416,6189.7724029456
source_frame,175,7600.6178356281,1718.0911798008
source_frame,176,7220.4488906882,3181.6132952249
source_frame,177,7045.6257657670,3784.4715887732
source_frame,178,6987.8355693934,4139.1196477228
source_frame,179,7225.9751544144,2990.8926809367
source_frame,180,3988.6666344830,4846.1323847535
source_frame,181,5211.8683500611,1696.9930904153
source_frame,182,6659.1948969201,5229.0561915428
source_frame,183,6980.2721893076,3586.0962033419
source_frame,184,3864.9164276490,5161.2759411514
source_frame,185,7701.6424621854,1323.8553351535
source_frame,186,4635.6464801844,4361.2070477417
source_frame,187,5350.1256581217,5930.7278040097
source_frame,188,3677.6139866297,5796.7918758204
source_frame,189,4850.6412263372,1269.4477862988
source_frame,190,7020.7163210828,3922.3480793559
source_frame,191,6251.5032784253,2002.6658594075
source_frame,192,4592.2669038591,2066.4304444582
source_frame,193,4163.5995385287,3934.4190445743
source_frame,194,6282.4377430614,6620.7761363503
source_frame,195,7205.3454862019,4358.9139711804
source_frame,196,6590.2589394292,5375.8580802541
source_frame,197,7008.2226569060,4084.9773052667
source_frame,198,7326.9546377804,2546.0049806023
source_frame,199,3706.7745203570,5594.7575950042
source_frame,200,3782.9411741198,5337.3698889635
source_frame,201,3777.2612602941,5438.0638013349
source_frame,202,4281.1740986999,3413.6191682840
source_frame,203,5991.3176348886,8119.1559797205
source_frame,204,5297.0742775772,6642.8829798874
source_frame,205,3212.1139758825,7841.3667379684
source_frame,206,6549.2011269138,5395.0353448509
source_frame,207,3734.2881685830,5795.7446040059
source_frame,208,6408.1899595663,6003.0158646321
source_frame,209,4819.2217725337,1398.9090005858
source_frame,210,4721.6386794720,1575.8513623491
source_frame,211,4165.4581717200,3947.0494432403
source_frame,212,4330.0619517228,3252.0051851649
source_frame,213,4497.3558570168,2387.4277266075
source_frame,214,3330.0050533087,7277.3242376765
source_frame,215,4899.0778077670,1064.1466843517
source_frame,216,7678.5046471900,1390.7610950945
