label,index,x,y
source_frame,0,6476.8709073002,4989.7119761752
source_frame,1,3632.1415501598,5763.6884934289
source_frame,2,3414.7477815752,7171.1575240977
source_frame,3,6324.8047579702,5689.5817118236
source_frame,4,7075.8483488945,1474.8733548738
source_frame,5,3436.6268622761,7625.1127178489
source_frame,6,3487.9931679832,7160.5253063046
source_frame,7,6878.4303960716,2540.5397422785
source_frame,8,6440.4583151133,5362.8319142337
source_frame,9,6421.2547660112,5496.6921226524
source_frame,10,6656.6559520986,3922.9237317149
source_frame,11,5329.0307528149,7273.2966756770
source_frame,12,6251.1838097031,6843.4323941723
source_frame,13,6938.5515722092,2177.3540758547
source_frame,14,6567.5069400954,4671.8341863905
source_frame,15,3749.0251223182,4886.9732190919
source_frame,16,6350.2656418942,5745.9020958653
source_frame,17,4078.2744796943,7113.3928100448
source_frame,18,6960.2174673531,1836.3301160221
source_frame,19,3874.6923348585,4376.4042559118
source_frame,20,4568.8343680833,976.8679064781
source_frame,21,5673.6772441444,4567.7133855513
source_frame,22,6185.9603185421,7061.8486623571
source_frame,23,3866.6116990728,4145.5330892563
source_frame,24,3369.5297025803,7909.4070174488
source_frame,25,3511.1905975180,7008.8372340477
source_frame,26,3993.7133362845,2795.7380031197
source_frame,27,5801.8346114287,2508.1375279352
source_frame,28,6008.5323459819,7288.0066108442
source_frame,29,6236.0711141171,6892.8191496219
source_frame,30,3790.9195426438,2968.2513496403
source_frame,31,3930.3474690568,3677.1077789239
source_frame,32,3627.4619058168,5783.9455259915
source_frame,33,6434.1134089834,4648.5359078973
source_frame,34,3367.5525512846,7523.1287781989
source_frame,35,6970.0452805262,1327.7096863836
source_frame,36,3963.0271010611,3116.2788949287
source_frame,37,4252.6674139368,7769.4214605286
source_frame,38,3612.1764172798,5937.1080475357
source_frame,39,4138.6779909766,7823.7043138693
source_frame,40,6744.6198602448,2903.9620573405
source_frame,41,5728.0994839360,1126.3947673245
source_frame,42,3947.6755470152,2994.9279478582
source_frame,43,3905.0314694229,3878.1702623408
source_frame,44,6903.5650204722,2545.4919905055
source_frame,45,3393.5738202014,7643.6073256407
source_frame,46,6883.1703739633,4038.1768253669
source_frame,47,3433.4309072802,7344.0826507991
source_frame,48,6841.3607793322,4721.1051968746
source_frame,49,3544.7603146214,6608.1116479246
source_frame,50,7031.3458574003,1329.8890837540
source_frame,51,7001.2380248132,1735.9052903586
source_frame,52,3975.4494641232,3012.6820653909
source_frame,53,5472.9041126340,7286.7161422278
source_frame,54,3592.7649846148,6179.9064918497
source_frame,55,3355.3440800205,7706.9240368992
source_frame,56,6766.9882852825,3341.2878454794
source_frame,57,3987.1108581678,2756.2928108503
source_frame,58,3997.7055979731,2868.5446300512
source_frame,59,4306.7944609021,913.2924966286
source_frame,60,6865.0552324547,2794.2058256238
source_frame,61,3547.6089787369,6603.6491173492
source_frame,62,6442.4156583841,5127.6784399119
source_frame,63,6793.7408162291,3012.1924768733
source_frame,64,3742.9502703706,5357.4460175634
source_frame,65,4095.8368334807,2267.0058071447
source_frame,66,3944.9031045865,4314.5224632733
source_frame,67,6233.6800527086,6824.4856147813
source_frame,68,4060.4130542374,3705.0364366030
source_frame,69,4041.5359500132,2528.3601236042
source_frame,70,4207.7353175133,1235.6882371560
source_frame,71,6406.7082815781,5367.6830657598
source_frame,72,3581.0123743897,3587.3705665992
source_frame,73,6691.9546293114,3730.0709602183
source_frame,74,6717.7835263900,3637.2457719859
source_frame,75,3915.1848884510,3260.0389398509
source_frame,76,6353.7835690099,5649.9081723150
source_frame,77,6830.8743866582,2635.6663657033
source_frame,78,4182.2268325083,1630.1587181218
source_frame,79,6736.9406829060,3829.3752959862
source_frame,80,6782.4972118901,3098.8576135040
source_frame,81,3916.0904765041,7749.9097479621
source_frame,82,6693.9994906135,2666.3319386257
source_frame,83,3452.2833930847,7148.6801950400
source_frame,84,6763.3195144473,3466.9568803984
