region,iteration,milliseconds
generate_target_profile,0,7.32861
source_deformation,0,20.5028
build_grid_index,0,2.49653
profile_metrics,0,405.503
nearest_neighbors,1,193.657
estimate_transform,1,0.357461
profile_metrics,1,393.274
nearest_neighbors,2,189.781
estimate_transform,2,0.354425
profile_metrics,2,394.462
nearest_neighbors,3,190.637
estimate_transform,3,0.399941
profile_metrics,3,388.438
nearest_neighbors,4,187.623
estimate_transform,4,0.364213
profile_metrics,4,382.259
nearest_neighbors,5,185.311
estimate_transform,5,0.383721
profile_metrics,5,373.998
nearest_neighbors,6,184.849
estimate_transform,6,0.40513
profile_metrics,6,375.92
nearest_neighbors,7,185.924
estimate_transform,7,0.342042
profile_metrics,7,366.589
nearest_neighbors,8,179.986
estimate_transform,8,0.374704
profile_metrics,8,360.901
nearest_neighbors,9,177.125
estimate_transform,9,0.412634
profile_metrics,9,363.031
nearest_neighbors,10,179.877
estimate_transform,10,0.389441
profile_metrics,10,352.263
nearest_neighbors,11,180.69
estimate_transform,11,0.430168
profile_metrics,11,349.734
nearest_neighbors,12,172.347
estimate_transform,12,0.380624
profile_metrics,12,344.399
nearest_neighbors,13,170.781
estimate_transform,13,0.418395
profile_metrics,13,347.826
nearest_neighbors,14,171.074
estimate_transform,14,0.432362
profile_metrics,14,339.874
nearest_neighbors,15,171.49
estimate_transform,15,0.467057
profile_metrics,15,338.86
nearest_neighbors,16,169.33
estimate_transform,16,0.414729
profile_metrics,16,332.112
nearest_neighbors,17,169.354
estimate_transform,17,0.395933
profile_metrics,17,332.701
nearest_neighbors,18,168.762
estimate_transform,18,0.432371
profile_metrics,18,329.98
nearest_neighbors,19,166.095
estimate_transform,19,0.440537
profile_metrics,19,334.515
nearest_neighbors,20,168.755
estimate_transform,20,0.418826
profile_metrics,20,338.644
nearest_neighbors,21,175.687
estimate_transform,21,0.444615
profile_metrics,21,350.256
nearest_neighbors,22,179.895
estimate_transform,22,0.375695
profile_metrics,22,355.137
nearest_neighbors,23,189.699
estimate_transform,23,0.465854
profile_metrics,23,381.067
nearest_neighbors,24,197.317
estimate_transform,24,0.446368
profile_metrics,24,382.647
nearest_neighbors,25,204.389
estimate_transform,25,0.469502
profile_metrics,25,381.777
nearest_neighbors,26,193.41
estimate_transform,26,0.410942
profile_metrics,26,361.397
nearest_neighbors,27,191.789
estimate_transform,27,0.349095
profile_metrics,27,368.978
nearest_neighbors,28,196.431
estimate_transform,28,0.3941
profile_metrics,28,383.113
nearest_neighbors,29,202.926
estimate_transform,29,0.420239
profile_metrics,29,379.839
nearest_neighbors,30,197.343
estimate_transform,30,0.382969
profile_metrics,30,377.435
nearest_neighbors,31,196.409
estimate_transform,31,0.353072
profile_metrics,31,378.198
nearest_neighbors,32,195.333
estimate_transform,32,0.41596
profile_metrics,32,382.316
nearest_neighbors,33,188.73
estimate_transform,33,0.393949
profile_metrics,33,386.8
nearest_neighbors,34,192.749
estimate_transform,34,0.389371
profile_metrics,34,396.162
nearest_neighbors,35,196.356
estimate_transform,35,0.383159
profile_metrics,35,401.522
nearest_neighbors,36,200.863
estimate_transform,36,0.410931
profile_metrics,36,406.416
nearest_neighbors,37,205.353
estimate_transform,37,0.370225
profile_metrics,37,404.208
nearest_neighbors,38,200.851
estimate_transform,38,0.42655
profile_metrics,38,406.282
nearest_neighbors,39,201.304
estimate_transform,39,0.389611
profile_metrics,39,414.074
nearest_neighbors,40,205.165
estimate_transform,40,0.415049
profile_metrics,40,414.411
nearest_neighbors,41,205.093
estimate_transform,41,0.385854
profile_metrics,41,421.371
nearest_neighbors,42,206.414
estimate_transform,42,0.422803
profile_metrics,42,415.521
nearest_neighbors,43,207.479
estimate_transform,43,0.41573
profile_metrics,43,417.666
nearest_neighbors,44,204.449
estimate_transform,44,0.376486
profile_metrics,44,417.368
nearest_neighbors,45,205.714
estimate_transform,45,0.396745
profile_metrics,45,420.561
export_reconstruction,0,2378.71
