label,index,x,y
source_frame,0,6347.5818414744,4712.4178944779
source_frame,1,3631.4575184596,5858.8006519217
source_frame,2,3603.6776355725,7282.6887799072
source_frame,3,6290.1945784827,5426.3145695612
source_frame,4,6472.5402535387,1149.0978268183
source_frame,5,3685.8919539513,7729.6729160457
source_frame,6,3674.8512564050,7262.3849284780
source_frame,7,6418.9816734124,2231.5719262018
source_frame,8,6361.2464016871,5087.0612513397
source_frame,9,6360.0633216438,5222.2867371685
source_frame,10,6383.5153814250,3631.1831366392
source_frame,11,5514.4858925057,7128.6644133289
source_frame,12,6371.0860688600,6579.6783491055
source_frame,13,6430.1386270012,1863.6128163777
source_frame,14,6395.0225376100,4385.2932087242
source_frame,15,3630.3957024339,4974.3288806124
source_frame,16,6322.9378920492,5478.7370617327
source_frame,17,4253.5768542380,7136.9649078596
source_frame,18,6406.1387472550,1522.7451617602
source_frame,19,3686.8612228704,4451.5626235985
source_frame,20,3921.5088963229,989.8259174417
source_frame,21,5495.2909658625,4401.2858736714
source_frame,22,6335.5687388032,6804.8411552540
source_frame,23,3648.0682685119,4223.8305464558
source_frame,24,3657.3018962014,8020.3753175186
source_frame,25,3677.6153764278,7108.9582305322
source_frame,26,3594.0525754316,2869.1409489313
source_frame,27,5347.6790539334,2343.0128724587
source_frame,28,6189.8811607941,7052.6379121427
source_frame,29,6362.6935798921,6630.6392293043
source_frame,30,3416.0726879301,3067.1544260277
source_frame,31,3648.7748321272,3751.0895809120
source_frame,32,3629.5207448129,5879.5007810822
source_frame,33,6259.7135685367,4379.9897370681
source_frame,34,3603.8358675058,7637.8100668479
source_frame,35,6348.0590994753,1017.3561216423
source_frame,36,3606.3814416651,3190.9112201051
source_frame,37,4513.8876964066,7763.8817693482
source_frame,38,3634.7945182191,6033.3337797516
source_frame,39,4408.1542691026,7832.8792987544
source_frame,40,6334.8249398963,2609.5913473789
source_frame,41,5090.3600922140,983.4405582856
source_frame,42,3574.9859768903,3072.6908861598
source_frame,43,3650.4946688040,3953.7322818342
source_frame,44,6444.5521880480,2233.1284889328
source_frame,45,3645.6894434472,7753.7430863490
source_frame,46,6623.3749991681,3715.2035072953
source_frame,47,3645.2518488209,7451.5785173798
source_frame,48,6673.0007614322,4397.6084358628
source_frame,49,3657.4523763321,6707.3348065300
source_frame,50,6409.1028816543,1011.3422081681
source_frame,51,6433.4023065971,1417.7473995179
source_frame,52,3604.8792237328,3086.5830765598
source_frame,53,5658.8638627076,7122.7799024300
source_frame,54,3647.9312895814,6276.5524334721
source_frame,55,3616.2437657285,7821.5919700729
source_frame,56,6415.3068596806,3040.0293243255
source_frame,57,3582.2494139752,2830.9283686718
source_frame,58,3607.7172592588,2940.7651033376
source_frame,59,3653.3317537854,961.7587495506
source_frame,60,6439.5499080666,2484.7562949229
source_frame,61,3659.6805666422,6702.5322827849
source_frame,62,6331.8307850650,4853.7466371875
source_frame,63,6397.9387578286,2710.3054874740
source_frame,64,3687.1081744302,5441.4105152844
source_frame,65,3624.7627246644,2331.5129823277
source_frame,66,3748.1936814490,4380.8714786746
source_frame,67,6351.2122424114,6563.2347187125
source_frame,68,3781.4029899414,3761.4258337596
source_frame,69,3605.7958472781,2597.7739863061
source_frame,70,3598.1455888275,1294.4841837999
source_frame,71,6328.4446012628,5096.3693297495
source_frame,72,3290.5935953993,3708.7342117364
source_frame,73,6392.7837669464,3435.3457420570
source_frame,74,6406.0046625307,3339.9054182173
source_frame,75,3578.1354823209,3339.7668333825
source_frame,76,6313.6245275085,5383.1312543217
source_frame,77,6384.5345569093,2332.1902380547
source_frame,78,3625.4637776868,1688.8334702429
source_frame,79,6450.6093975305,3527.7648557071
source_frame,80,6398.3515281411,2797.6959570140
source_frame,81,4177.7145933281,7789.4236272558
source_frame,82,6252.9708773198,2380.8329429831
source_frame,83,3637.8809265519,7255.4071498396
source_frame,84,6428.4276216219,3165.0653664214
source_frame,85,6338.1277686311,6320.5273863471
source_frame,86,3630.7116688428,4335.6154293842
source_frame,87,5528.1805450611,955.9115290396
source_frame,88,3637.0104207528,3778.8864856199
source_frame,89,6267.9428875104,5506.7982964332
source_frame,90,3650.1064808066,6427.0089775845
source_frame,91,3676.2857655899,822.8091610514
source_frame,92,3648.5265690692,1413.6953921979
source_frame,93,3655.8974304307,3284.8922869278
source_frame,94,3641.4558694826,6409.2687024495
source_frame,95,6370.5780538632,4572.0281705224
source_frame,96,3642.1289709235,7537.6210255192
source_frame,97,3404.1050662042,3142.3906558511
source_frame,98,4364.0839585476,5751.5880681148
source_frame,99,6668.4641859261,3741.2372002598
source_frame,100,4314.9931702655,2406.7463123569
source_frame,101,3638.1975794530,5701.4810098948
source_frame,102,3601.8080630817,6007.6405813621
source_frame,103,5741.3529455757,1026.3007656835
source_frame,104,3628.2963685498,5219.9148957887
source_frame,105,6373.2006264630,1679.3447870031
source_frame,106,3872.1048645852,6431.2738937992
source_frame,107,3684.5238555244,1007.2694818569
source_frame,108,6304.7287816253,6054.0039966389
source_frame,109,3445.3579140054,4377.9175791055
source_frame,110,3655.6715615325,4648.0138077418
source_frame,111,3606.2719277095,3820.9510449076
source_frame,112,6420.6421687110,3729.4693225674
source_frame,113,3653.7491798229,5689.0366198423
source_frame,114,4236.4127355060,7136.8280650169
source_frame,115,3634.6196691988,6350.0843039218
source_frame,116,3595.9510212825,7064.4856379334
source_frame,117,3658.5839483775,4289.9702358501
source_frame,118,5474.6388082814,5746.3909194148
source_frame,119,3640.3245699483,7850.2237035656
source_frame,120,4333.2300210105,1660.1490601709
source_frame,121,4136.6081282722,5057.0103437119
source_frame,122,3661.8833607424,5554.0691130898
source_frame,123,6367.9893759411,6769.2102569933
source_frame,124,6297.5830230595,6450.8624857284
source_frame,125,3668.8722096288,4724.3178498349
source_frame,126,6417.2633131480,2880.7957687527
source_frame,127,3666.5769340069,4014.5443932765
source_frame,128,3612.8396040867,803.5831586335
source_frame,129,6454.5430675112,3156.3155407031
source_frame,130,4099.0963110188,5103.0834541588
