label,index,x,y
source_frame,0,6711.1770346946,5258.3324116216
source_frame,1,3780.9359918144,5582.6967056760
source_frame,2,3348.3242703048,6939.5593447532
source_frame,3,6452.6226643530,5926.2331514220
source_frame,4,7846.9372842954,1878.5523648200
source_frame,5,3299.6799250287,7391.4307200124
source_frame,6,3422.3326347606,6940.3916162500
source_frame,7,7486.9623266245,2900.8227435316
source_frame,8,6617.4544989596,5621.3206364195
source_frame,9,6577.7644692182,5750.5956658534
source_frame,10,7053.9051911372,4232.2246045987
source_frame,11,5223.7320570817,7336.7461189045
source_frame,12,6201.3044691361,7054.7855896955
source_frame,13,7602.5702088918,2551.3185208481
source_frame,14,6849.9196598026,4958.3129728224
source_frame,15,4032.1025586788,4734.6360961757
source_frame,16,6469.0599007069,5985.8155274223
source_frame,17,4012.7959512474,6985.1863820439
source_frame,18,7676.7561680929,2217.7571387163
source_frame,19,4235.2775396356,4249.6692503154
source_frame,20,5447.2100380458,998.5309615453
source_frame,21,5982.9755289713,4717.1065455688
source_frame,22,6103.0620775860,7260.4751677241
source_frame,23,4263.0267850029,4020.3293897392
source_frame,24,3189.3903339401,7661.9145156856
source_frame,25,3468.7276824979,6794.1216892401
source_frame,26,4597.5080418157,2706.4709918968
source_frame,27,6428.3543479494,2702.1835366998
source_frame,28,5892.7690541739,7456.4469703255
source_frame,29,6178.7301672542,7101.2382115404
source_frame,30,4370.4575618834,2845.5186708755
source_frame,31,4398.4939098765,3567.4130864182
source_frame,32,3773.1775047235,5601.9853634177
source_frame,33,6721.7394358337,4914.6497834454
source_frame,34,3247.2222607566,7279.9848683866
source_frame,35,7765.1860193711,1716.7865919170
source_frame,36,4517.5806523217,3018.4000235090
source_frame,37,4083.5522715142,7660.3012085078
source_frame,38,3734.3708559422,5750.9365237890
source_frame,39,3962.5349120988,7696.2875313780
source_frame,40,7298.5164047979,3239.1556759076
source_frame,41,6569.3635178089,1325.6784188227
source_frame,42,4521.1958734308,2896.1353403708
source_frame,43,4342.3640188433,3762.1345731829
source_frame,44,7511.0276102931,2909.6054668114
source_frame,45,3254.2832093775,7403.0390427746
source_frame,46,7259.8521338982,4381.1471202786
source_frame,47,3340.0182104922,7113.2923813386
source_frame,48,7112.8477991563,5049.3753211056
source_frame,49,3563.9141949271,6403.4204617891
source_frame,50,7825.4106217638,1728.4273721587
source_frame,51,7732.8254359841,2124.8912733941
source_frame,52,4545.8872692059,2917.9741621241
source_frame,53,5363.7947977840,7372.2715241111
source_frame,54,3677.6148031036,5987.8049234238
source_frame,55,3206.7144459038,7459.6758832626
source_frame,56,7252.9292822173,3674.6737646993
source_frame,57,4597.0901541920,2666.4792267396
source_frame,58,4590.1837326956,2779.0182011777
source_frame,59,5198.1674022947,895.1650519271
source_frame,60,7434.4877948065,3149.3620771430
source_frame,61,3567.4192100951,6399.4525990077
source_frame,62,6655.7835506090,5389.3036726476
source_frame,63,7330.2943659091,3353.6845072851
source_frame,64,3953.2846506809,5198.4995408517
source_frame,65,4780.2341751985,2199.9158577612
source_frame,66,4314.2198796083,4199.3998221749
source_frame,67,6186.9440707046,7033.3580159854
source_frame,68,4522.6696337915,3615.1357849830
source_frame,69,4686.1371457705,2449.7166058189
source_frame,70,5050.4039093494,1198.3443347809
source_frame,71,6583.3603238599,5620.8897547294
