region,iteration,milliseconds
generate_target_profile,0,7.70138
source_deformation,0,20.3768
build_grid_index,0,2.49741
profile_metrics,0,414.303
nearest_neighbors,1,205.069
estimate_transform,1,0.556014
profile_metrics,1,436.295
nearest_neighbors,2,204.06
estimate_transform,2,0.381567
profile_metrics,2,436.174
nearest_neighbors,3,213.514
estimate_transform,3,0.462157
profile_metrics,3,428.199
nearest_neighbors,4,206.377
estimate_transform,4,0.439785
profile_metrics,4,401.475
nearest_neighbors,5,202.509
estimate_transform,5,0.410711
profile_metrics,5,390.927
nearest_neighbors,6,182.244
estimate_transform,6,0.38878
profile_metrics,6,364.366
nearest_neighbors,7,177.355
estimate_transform,7,0.349886
profile_metrics,7,367.438
nearest_neighbors,8,176.951
estimate_transform,8,0.528482
profile_metrics,8,367.333
nearest_neighbors,9,175.324
estimate_transform,9,0.373812
profile_metrics,9,355.07
nearest_neighbors,10,173.483
estimate_transform,10,0.417314
profile_metrics,10,347.359
nearest_neighbors,11,170.817
estimate_transform,11,0.454263
profile_metrics,11,363.793
nearest_neighbors,12,169.523
estimate_transform,12,0.383159
profile_metrics,12,341.932
nearest_neighbors,13,169.351
estimate_transform,13,0.389822
profile_metrics,13,340.451
nearest_neighbors,14,166.658
estimate_transform,14,0.384502
profile_metrics,14,342.968
nearest_neighbors,15,177.447
estimate_transform,15,0.446739
profile_metrics,15,360.132
nearest_neighbors,16,178.258
estimate_transform,16,0.371146
profile_metrics,16,348.563
nearest_neighbors,17,177.701
estimate_transform,17,0.372159
profile_metrics,17,349.548
nearest_neighbors,18,179.461
estimate_transform,18,0.369764
profile_metrics,18,346.238
nearest_neighbors,19,177.55
estimate_transform,19,0.365727
profile_metrics,19,358.914
nearest_neighbors,20,179.35
estimate_transform,20,0.382619
profile_metrics,20,352.955
nearest_neighbors,21,175.068
estimate_transform,21,0.696236
profile_metrics,21,355.808
nearest_neighbors,22,177.179
estimate_transform,22,0.416562
profile_metrics,22,351.276
nearest_neighbors,23,192.095
estimate_transform,23,0.504386
profile_metrics,23,353.421
nearest_neighbors,24,185.852
estimate_transform,24,0.403968
profile_metrics,24,383.881
nearest_neighbors,25,194.921
estimate_transform,25,0.415129
profile_metrics,25,371.148
nearest_neighbors,26,190.615
estimate_transform,26,0.353334
profile_metrics,26,374.699
nearest_neighbors,27,194.61
estimate_transform,27,0.326623
profile_metrics,27,395.851
nearest_neighbors,28,201.271
estimate_transform,28,0.39946
profile_metrics,28,393.979
nearest_neighbors,29,204.87
estimate_transform,29,0.387938
profile_metrics,29,390.122
nearest_neighbors,30,202.701
estimate_transform,30,0.525907
profile_metrics,30,387.438
nearest_neighbors,31,208.974
estimate_transform,31,0.481705
profile_metrics,31,401.152
nearest_neighbors,32,197.916
estimate_transform,32,0.42647
profile_metrics,32,375.53
nearest_neighbors,33,186.576
estimate_transform,33,0.413656
profile_metrics,33,396.404
nearest_neighbors,34,199.098
estimate_transform,34,0.534122
profile_metrics,34,410.242
nearest_neighbors,35,200.49
estimate_transform,35,0.658826
profile_metrics,35,430.185
nearest_neighbors,36,208.793
estimate_transform,36,0.425058
profile_metrics,36,445.095
nearest_neighbors,37,210.903
estimate_transform,37,0.461957
profile_metrics,37,429.334
nearest_neighbors,38,219.227
estimate_transform,38,0.806233
profile_metrics,38,438.035
nearest_neighbors,39,201.216
estimate_transform,39,0.429486
profile_metrics,39,411.836
nearest_neighbors,40,200.579
estimate_transform,40,0.423995
profile_metrics,40,415.168
nearest_neighbors,41,211.323
estimate_transform,41,0.48464
profile_metrics,41,418.904
nearest_neighbors,42,200.383
estimate_transform,42,0.418015
profile_metrics,42,407.82
nearest_neighbors,43,203.956
estimate_transform,43,0.395342
profile_metrics,43,406.728
nearest_neighbors,44,199.374
estimate_transform,44,0.411312
profile_metrics,44,408.764
nearest_neighbors,45,210.894
estimate_transform,45,0.427181
profile_metrics,45,421.355
export_reconstruction,0,2362.49
