iteration,matches,theta_deg,tx,ty,target_centroid_x,target_centroid_y,source_centroid_x,source_centroid_y,centroid_distance,rmse_source_to_target,rmse_target_to_source,symmetric_chamfer_rmse,median_distance,p95_distance,max_distance,coverage,match_rmse,profile_score,score_variation,transform_step
13,85855,-4.1654469430,-513.3375566933,427.7232317875,4860.4952257433,5000.2486525847,5254.4971535187,4544.4495236481,602.4868173081,289.3613645587,283.2594652207,286.3266700261,133.0580666006,694.7296730112,1178.1020378860,0.8627000000,157.9601177699,0.0308969159,0.0240227182,0.0071970595
14,86506,-4.5659739539,-557.5681399458,468.3933770333,4860.4952257433,5000.2486525847,5238.9034444358,4544.6992755007,592.2145007813,281.3603141561,274.0206107609,277.7147110830,130.2776497761,669.4906977562,1141.9816365377,0.8693500000,159.2197627308,0.0301063678,0.0255866339,0.0077418989
15,87238,-5.0183755167,-607.6196077510,513.1821752902,4860.4952257433,5000.2486525847,5220.8570428288,4543.5931394561,581.7171966547,272.5758223529,263.8567405502,268.2517087225,128.0239554200,638.1738783669,1100.9564024853,0.8766500000,160.3761553626,0.0292516646,0.0283894488,0.0087035491
16,87953,-5.5112317781,-662.4659014358,561.3777634609,4860.4952257433,5000.2486525847,5200.4641394090,4541.5038849026,570.9865358612,263.2676904394,253.1130544952,258.2402904130,125.4245849716,604.1218805300,1055.8995035094,0.8833500000,160.5709551505,0.0283540573,0.0306856812,0.0094790351
17,88475,-5.9879415903,-715.6618585110,607.4498972081,4860.4952257433,5000.2486525847,5180.1801402253,4538.6583287673,561.4838124017,254.6424717056,243.0786027791,248.9276958530,123.2656708294,572.9861799315,1027.2221616297,0.8942500000,159.0779191538,0.0275275715,0.0291487695,0.0091590401
18,89279,-6.4747255924,-768.9118973501,653.7912179616,4860.4952257433,5000.2486525847,5160.1163970989,4534.7673954261,553.5753309988,246.5969642950,233.4591414733,240.1179226307,120.6888891221,541.9366195146,1027.6119616457,0.9047000000,159.2225260148,0.0267648229,0.0277085307,0.0092667427
19,90366,-7.0283221577,-827.5529799036,706.1725073758,4860.4952257433,5000.2486525847,5138.6962916739,4529.6816594276,546.6526576664,238.3636975644,223.2102105940,230.9112929568,119.0570206405,508.0662744415,1025.1985965288,0.9128000000,160.3568139141,0.0259914391,0.0288955306,0.0104201554
20,91093,-7.6203671963,-887.4130975925,761.0441831537,4860.4952257433,5000.2486525847,5118.0257917037,4522.7002484197,542.5628726004,230.0890032232,213.0777166425,221.7465475874,117.0227619781,476.0684789594,1024.5670958856,0.9253000000,158.6520523253,0.0252710959,0.0277146342,0.0109393861
21,92140,-8.2452414658,-947.2692635616,817.9861920067,4860.4952257433,5000.2486525847,5098.8367102878,4513.9238483269,541.5888463505,222.7528032031,203.3426460126,213.2686604054,112.5934384288,449.1027884252,1017.2220156343,0.9404500000,158.2102150149,0.0246544002,0.0244032023,0.0113227268
22,93381,-8.9340622154,-1009.9660478175,880.5271389285,4860.4952257433,5000.2486525847,5080.1351947470,4503.5120218306,543.1288947541,216.2113932874,193.6718544057,205.2512530732,107.5786549214,431.6170952659,1013.9453098723,0.9476000000,158.0664328879,0.0241147084,0.0218902848,0.0122933281
